"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted"
"MEX",2021,"HPV","HPV",17174.9482171733,180.788928601824
"MKD",2021,"HPV","HPV",20.4164875917761,0
"MLT",2021,"HPV","HPV",11.7864568434272,0
"MMR",2021,"HPV","HPV",3395.83038013002,0
"MNG",2021,"HPV","HPV",307.592131106159,0
"MOZ",2021,"HPV","HPV",8136.4216014455,0
"MRT",2021,"HPV","HPV",724.683745727735,0
"MUS",2021,"HPV","HPV",30.7019520517843,0
"MWI",2021,"HPV","HPV",9259.33638547886,1543.22273091314
"MYS",2021,"HPV","HPV",1542.05598296486,0
"NAM",2021,"HPV","HPV",340.041022350415,0
"NIC",2021,"HPV","HPV",681.840810574651,0
"NLD",2021,"HPV","HPV",402.918550755004,0
"NOR",2021,"HPV","HPV",335.678459331816,0
"NPL",2021,"HPV","HPV",2952.09776147634,0
"NZL",2021,"HPV","HPV",211.50525300975,0
"PAN",2021,"HPV","HPV",750.833964355238,0
"PER",2021,"HPV","HPV",2670.43021405335,0
"PHL",2021,"HPV","HPV",4695.94190729492,0
"PRT",2021,"HPV","HPV",383.896630009504,0
"PRY",2021,"HPV","HPV",653.077318664331,0
"RWA",2021,"HPV","HPV",3218.64447224411,2758.83811906638
"SEN",2021,"HPV","HPV",4601.31785033758,2108.93734807139
"SGP",2021,"HPV","HPV",71.4663344105067,78.6129678515574
"SLB",2021,"HPV","HPV",87.827247732814,0
"SLE",2021,"HPV","HPV",576.064997598395,0
"SLV",2021,"HPV","HPV",216.486900302367,0
"SRB",2021,"HPV","HPV",135.367160515812,0
"STP",2021,"HPV","HPV",40.898412962631,0
"SUR",2021,"HPV","HPV",17.456160410539,0.698246416421558
"SVN",2021,"HPV","HPV",58.8984557224325,0
"SWE",2021,"HPV","HPV",205.997177539753,0
"SWZ",2021,"HPV","HPV",397.780482721081,0
"SYC",2021,"HPV","HPV",5.99284296700492,0
"TGO",2021,"HPV","HPV",1443.89939152647,0
"THA",2021,"HPV","HPV",1869.44698220533,0
"TKM",2021,"HPV","HPV",881.36030567657,0
"TLS",2021,"HPV","HPV",36.9279820237759,0
"TON",2021,"HPV","HPV",2.50994513948869,0
"TTO",2021,"HPV","HPV",38.9987095758329,0
"TUN",2021,"HPV","HPV",143.566571139653,0
"TZA",2021,"HPV","HPV",25228.0109052555,19271.3972192924
"UGA",2021,"HPV","HPV",17951.7010440496,0
"URY",2021,"HPV","HPV",72.0822424898063,0
"USA",2021,"HPV","HPV",13142.4171484907,0
"UZB",2021,"HPV","HPV",1210.24159954184,1267.87215190098
"VCT",2021,"HPV","HPV",4.6873353101081,0
"VUT",2021,"HPV","HPV",20.7495026294603,0
"WSM",2021,"HPV","HPV",10.2034689516769,0
"ZAF",2021,"HPV","HPV",7824.66863464338,3912.33431732169
"ZMB",2021,"HPV","HPV",9704.11094583477,3812.32930014938
"ZWE",2021,"HPV","HPV",6091.8769262347,0
"AGO",2022,"HPV","HPV",4990.00120449589,0
"ALB",2022,"HPV","HPV",27.5948043574126,0
"ARE",2022,"HPV","HPV",41.2622150993199,0
"ARG",2022,"HPV","HPV",3030.78752273376,0
"ARM",2022,"HPV","HPV",68.5450453556976,0
"AUS",2022,"HPV","HPV",1249.87089451147,0
"BDI",2022,"HPV","HPV",4966.5730189559,0
"BEL",2022,"HPV","HPV",326.387802561753,0
"BEN",2022,"HPV","HPV",2237.00755810255,0
"BFA",2022,"HPV","HPV",7321.02673085334,1626.89482907852
"BGD",2022,"HPV","HPV",9111.85938398769,0
