"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"55","YF",2021,150513.241433891,123277.220412415,-27236.021021476,"Global"
"56","YF",2022,156843.220373507,123763.590989943,-33079.6293835634,"Global"
"57","D",2019,1779.23172658689,1911.36376970421,132.132043117316,"EMRO"
"58","D",2020,1779.81744887082,1839.83437664853,60.0169277777129,"EMRO"
"59","D",2021,1789.13205891596,1881.8740149836,92.7419560676447,"EMRO"
"60","D",2022,1832.72219656731,1940.51309867481,107.79090210749,"EMRO"
"61","D",2019,3383.78095784233,3448.87966115311,65.098703310784,"AFRO"
"62","D",2020,3437.04715585092,3388.09631800414,-48.9508378467767,"AFRO"
"63","D",2021,3474.83897278219,3335.82338373071,-139.015589051482,"AFRO"
"64","D",2022,3587.64125595283,3366.8251371406,-220.816118812231,"AFRO"
"65","D",2019,328.772176659435,328.663681401211,-0.108495258223684,"EURO"
"66","D",2020,320.987955796079,313.399679871472,-7.5882759246071,"EURO"
"67","D",2021,317.595373260479,313.007377486594,-4.58799577388527,"EURO"
"68","D",2022,311.179544601633,308.91712138631,-2.26242321532357,"EURO"
"69","D",2019,512.506768667244,507.571665420615,-4.93510324662947,"PAHO"
"70","D",2020,504.373132851088,476.773105194636,-27.6000276564511,"PAHO"
"71","D",2021,495.55846078974,465.05902524674,-30.4994355429996,"PAHO"
"72","D",2022,498.625046800419,479.702986393049,-18.9220604073699,"PAHO"
"73","D",2019,873.582356292594,910.206865832569,36.6245095399752,"WPRO"
"74","D",2020,859.276788519793,901.352718373131,42.0759298533376,"WPRO"
"75","D",2021,818.307055942821,763.824516601984,-54.4825393408372,"WPRO"
"76","D",2022,812.492983600837,836.222790059327,23.7298064584894,"WPRO"
"77","D",2019,8046.867962945,8047.33501016331,0.467047218307926,"SEARO"
"78","D",2020,7901.57169450288,7367.02326377757,-534.548430725308,"SEARO"
"79","D",2021,7787.36997479648,7007.81960050901,-779.550374287468,"SEARO"
"80","D",2022,7812.2582179787,7841.96934654911,29.7111285704159,"SEARO"
"81","HPV",2019,9089.40545924528,18539.7795823797,9450.37412313442,"AFRO"
"82","HPV",2021,75466.1351892208,54975.8736672576,-20490.2615219632,"AFRO"
"83","HPV",2022,95245.8676975074,61067.0991939279,-34178.7685035794,"AFRO"
"84","HPV",2021,6466.7025239997,1297.61723135627,-5169.08529264343,"EURO"
"85","HPV",2022,6867.4406299702,1481.39212866308,-5386.04850130712,"EURO"
