"region","disease","year","total","incremental"
"SEARO","HPV",2027,121892.297651921,121532.385855594
"SEARO","HPV",2028,127817.998764996,127458.08696867
"SEARO","HPV",2029,133613.683234731,133253.771438404
"SEARO","HPV",2030,139447.196612252,139087.284815925
"SEARO","HepB",2021,219433.777583072,-1747.88871994784
"SEARO","HepB",2022,224727.694322495,3546.02801947555
"SEARO","HepB",2023,229161.000529293,7979.33422627355
"SEARO","HepB",2024,233501.813824853,12320.1475218334
"SEARO","HepB",2025,236725.850130008,15544.1838269883
"SEARO","HepB",2026,239109.285276494,17927.6189734741
"SEARO","HepB",2027,240747.033682152,19565.3673791327
"SEARO","HepB",2028,241795.638300463,20613.9719974435
"SEARO","HepB",2029,242385.657762141,21203.9914591218
"SEARO","HepB",2030,242615.600684862,21433.9343818424
"SEARO","Hib",2021,56843.8524352014,167.652092864124
"SEARO","Hib",2022,56731.7154773296,55.5151349923843
"SEARO","Hib",2023,56431.165309072,-245.035033265238
"SEARO","Hib",2024,56086.5804995759,-589.619842761378
"SEARO","Hib",2025,55855.1332254086,-821.067116928634
"SEARO","Hib",2026,55737.7064949392,-938.493847398062
"SEARO","Hib",2027,55663.2808440424,-1012.91949829484
"SEARO","Hib",2028,55607.9745925906,-1068.22574974667
"SEARO","Hib",2029,55527.8253967683,-1148.37494556899
"SEARO","Hib",2030,55388.5616854898,-1287.63865684747
"SEARO","JE",2021,4358.9728540348,30.7474568015503
"SEARO","JE",2022,4344.99346038435,16.7680631511073
"SEARO","JE",2023,4311.27705795776,-16.9483392754813
"SEARO","JE",2024,5429.98844707286,1101.76304983961
"SEARO","JE",2025,6041.97901600106,1713.75361876781
"SEARO","JE",2026,6381.89248163843,2053.66708440518
"SEARO","JE",2027,6558.25799761502,2230.03260038178
"SEARO","JE",2028,6641.28073850326,2313.05534127002
"SEARO","JE",2029,6668.45022826469,2340.22483103145
"SEARO","JE",2030,6660.41844259218,2332.19304535894
"SEARO","Measles",2021,329950.082771217,1280.5356685788
"SEARO","Measles",2022,330690.957314518,2021.41021188002
"SEARO","Measles",2023,329602.968774442,933.421671804012
"SEARO","Measles",2024,328597.196302999,-72.3507996384471
"SEARO","Measles",2025,327894.235637267,-775.311465371142
"SEARO","Measles",2026,327888.036411852,-781.510690785974
"SEARO","Measles",2027,328127.780795288,-541.766307350224
"SEARO","Measles",2028,328470.855319126,-198.691783512039
"SEARO","Measles",2029,328571.920174436,-97.6269282021821
"SEARO","Measles",2030,328251.287885214,-418.259217423603
"SEARO","P",2021,168494.72840563,188.888493287012
"SEARO","P",2022,168471.419542303,165.579629960393
"SEARO","P",2023,168044.090150542,-261.749761801218
"SEARO","P",2024,167504.682713324,-801.157199018858
"SEARO","P",2025,167077.917519042,-1227.92239330109
"SEARO","P",2026,166925.009839495,-1380.83007284758
"SEARO","P",2027,166853.155605933,-1452.68430640996
"SEARO","P",2028,166798.620629404,-1507.2192829388
"SEARO","P",2029,166663.177872248,-1642.66204009459
"SEARO","P",2030,166372.310830848,-1933.52908149475
"SEARO","PCV",2021,12746.8843184518,-91.1222677269826
"SEARO","PCV",2022,23447.3241113428,10609.317525164
"SEARO","PCV",2023,31196.9127030751,18358.9061168963
"SEARO","PCV",2024,36930.7934867293,24092.7869005505
"SEARO","PCV",2025,41033.9461103233,28195.9395241446
"SEARO","PCV",2026,44079.7645468664,31241.7579606876
"SEARO","PCV",2027,46286.8236784569,33448.8170922781
"SEARO","PCV",2028,47877.6892062076,35039.6826200288
"SEARO","PCV",2029,48985.6319172681,36147.6253310893
"SEARO","PCV",2030,49701.9173259602,36863.9107397814
"SEARO","Rota",2021,6042.57671990128,58.6610809947115
"SEARO","Rota",2022,7653.66638064996,1669.75074174338
"SEARO","Rota",2023,8840.79387744792,2856.87823854134
"SEARO","Rota",2024,10109.1244002104,4125.20876130386
"SEARO","Rota",2025,11040.948957259,5057.03331835247
"SEARO","Rota",2026,11929.3444755784,5945.42883667183
"SEARO","Rota",2027,13492.385775288,7508.47013638139
"SEARO","Rota",2028,14454.5638981,8470.64825919345
"SEARO","Rota",2029,15044.4855340027,9060.5698950961
"SEARO","Rota",2030,15395.0983736201,9411.18273471349
"SEARO","Rubella",2021,13641.9858152151,42.5830895940583
"SEARO","Rubella",2022,13771.7641838627,172.361458241647
"SEARO","Rubella",2023,13897.4865746004,298.083848979304
"SEARO","Rubella",2024,13967.5213505566,368.118624935559
"SEARO","Rubella",2025,14021.7357888562,422.333063235168
"SEARO","Rubella",2026,14083.8519924588,484.449266837689
"SEARO","Rubella",2027,14139.4921901547,540.089464533627
"SEARO","Rubella",2028,14184.819757244,585.417031622889
"SEARO","Rubella",2029,14211.1391027286,611.73637710748
"SEARO","Rubella",2030,14212.3375532449,612.934827623797
"SEARO","T",2021,343904.90601839,394.441667035324
"SEARO","T",2022,343769.232508584,258.768157229817
"SEARO","T",2023,342786.025119939,-724.439231415229
"SEARO","T",2024,341574.60885255,-1935.85549880391
"SEARO","T",2025,340611.749457738,-2898.7148936163
"SEARO","T",2026,340234.39186488,-3276.07248647428
"SEARO","T",2027,340040.700289325,-3469.76406202933
"SEARO","T",2028,339895.358376504,-3615.10597485038
"SEARO","T",2029,339588.874444322,-3921.58990703239
"SEARO","T",2030,338962.165695904,-4548.29865544975
"SEARO","TB",2021,129674.096496079,92.8502956406151
"SEARO","TB",2022,129350.883633764,-230.362566674506
"SEARO","TB",2023,128753.568844567,-827.677355871399
"SEARO","TB",2024,128086.023077382,-1495.22312305682
"SEARO","TB",2025,127507.740934838,-2073.50526560022
"SEARO","TB",2026,127138.72203065,-2442.52416978887
"SEARO","TB",2027,126838.252486886,-2742.99371355257
"SEARO","TB",2028,126561.545445282,-3019.70075515625
"SEARO","TB",2029,126238.449070138,-3342.79713030047
"SEARO","TB",2030,125814.762271259,-3766.4839291796
"WPRO","D",2021,41864.7582384575,-970.039936531575
"WPRO","D",2022,42378.8326899336,-455.96548505543
"WPRO","D",2023,43007.5736290156,172.775454026581
"WPRO","D",2024,43627.273516174,792.475341184919
"WPRO","D",2025,44125.5133507535,1290.71517576451
"WPRO","D",2026,44465.6968951292,1630.89872014016
"WPRO","D",2027,44661.7260865581,1826.92791156901
"WPRO","D",2028,44742.3334895923,1907.53531460322
"WPRO","D",2029,44770.5398866338,1935.74171164477
"WPRO","D",2030,44804.7241760764,1969.92600108739
"WPRO","HPV",2021,17144.51345897,8336.61702838189
"WPRO","HPV",2022,23369.4180895566,14557.2358337276
"WPRO","HPV",2023,25930.147723121,17117.965467292
"WPRO","HPV",2024,26067.9367531957,17255.7544973667
"WPRO","HPV",2025,47280.1244002329,38467.9421444039
"WPRO","HPV",2026,53500.3194910995,44688.1372352705
"WPRO","HPV",2027,53400.5352688597,44588.3530130308
"WPRO","HPV",2028,53211.2286728415,44399.0464170125
"WPRO","HPV",2029,52914.1811937434,44101.9989379144
"WPRO","HPV",2030,52519.8789983701,43707.6967425411
"WPRO","HepB",2021,477857.314749695,-18481.0360285582
"WPRO","HepB",2022,470789.430305196,-25548.9204730573
"WPRO","HepB",2023,463819.698441854,-32518.6523363984
"WPRO","HepB",2024,457722.943489474,-38615.4072887787
"WPRO","HepB",2025,453003.305595576,-43335.045182677
"WPRO","HepB",2026,450476.919382103,-45861.4313961499
"WPRO","HepB",2027,449433.976465413,-46904.3743128395
"WPRO","HepB",2028,449276.124970832,-47062.225807421
"WPRO","HepB",2029,449099.93065038,-47238.4201278732
"WPRO","HepB",2030,448241.158137232,-48097.1926410207
"WPRO","Hib",2021,3965.38476886217,-14.5035280898348
"WPRO","Hib",2022,4078.82351268964,98.9352157376365
"WPRO","Hib",2023,4202.72476670012,222.836469748115
"WPRO","Hib",2024,9942.3906753431,5962.5023783911
"WPRO","Hib",2025,12800.7761933668,8820.8878964148
"WPRO","Hib",2026,14237.290288441,10257.4019914889
"WPRO","Hib",2027,14966.6183316976,10986.7300347456
"WPRO","Hib",2028,15340.3444552659,11360.4561583139
"WPRO","Hib",2029,15525.1295424239,11545.2412454719
"WPRO","Hib",2030,15602.0231519028,11622.1348549508
"WPRO","JE",2021,1276.04317732782,-25.1360311292584
"WPRO","JE",2022,1247.17924750684,-53.999960950234
"WPRO","JE",2023,4687.45610750703,3386.27689904995
"WPRO","JE",2024,6497.07729954293,5195.89809108585
"WPRO","JE",2025,7445.42924021741,6144.25003176033
"WPRO","JE",2026,7965.05371927266,6663.87451081558
"WPRO","JE",2027,8654.91388296906,7353.73467451198
"WPRO","JE",2028,9077.44442586909,7776.26521741201
"WPRO","JE",2029,9323.23365423589,8022.05444577881
"WPRO","JE",2030,9447.44642184511,8146.26721338803
"WPRO","Measles",2021,117065.425631211,-4003.77983825057
"WPRO","Measles",2022,115625.360671151,-5443.84479831019
"WPRO","Measles",2023,114394.415618437,-6674.7898510248
"WPRO","Measles",2024,113241.870875518,-7827.33459394374
"WPRO","Measles",2025,112310.370590247,-8758.83487921424
"WPRO","Measles",2026,111703.862916863,-9365.3425525982
"WPRO","Measles",2027,111427.931811334,-9641.273658127
"WPRO","Measles",2028,111391.010855938,-9678.19461352372
"WPRO","Measles",2029,111242.700665878,-9826.5048035838
"WPRO","Measles",2030,110979.231483263,-10089.9739861988
"WPRO","P",2021,18698.3820969988,-373.662689444059
"WPRO","P",2022,19053.5401223121,-18.5046641307379
"WPRO","P",2023,19469.4207535117,397.375967068862
"WPRO","P",2024,19870.8755399584,798.83075351556
"WPRO","P",2025,20191.6632749649,1119.61848852203
"WPRO","P",2026,20404.4788803688,1332.4340939259
"WPRO","P",2027,20523.8909273977,1451.84614095486
"WPRO","P",2028,20571.8700087578,1499.825222315
"WPRO","P",2029,20592.0657775597,1520.02099111679
"WPRO","P",2030,20623.0433491478,1550.99856270497
"WPRO","PCV",2021,2529.38011643704,-4.20161631933667
"WPRO","PCV",2022,2778.13707955445,244.555346798067
"WPRO","PCV",2023,8076.18848075722,5542.60674800083
"WPRO","PCV",2024,10979.9522750592,8446.37054230282
"WPRO","PCV",2025,12578.808789802,10045.2270570456
"WPRO","PCV",2026,13713.2753594113,11179.6936266549
"WPRO","PCV",2027,14374.4125228638,11840.8307901074
"WPRO","PCV",2028,14768.9571966662,12235.3754639099
"WPRO","PCV",2029,15002.1964692455,12468.6147364891
"WPRO","PCV",2030,15130.7388364234,12597.157103667
"WPRO","Rota",2021,50.2353148414275,0.180410336668831
"WPRO","Rota",2022,344.094350355817,294.039445851059
"WPRO","Rota",2023,1784.62357187465,1734.56866736989
"WPRO","Rota",2024,2655.65895101704,2605.60404651228
"WPRO","Rota",2025,3239.05157879338,3188.99667428862
"WPRO","Rota",2026,3666.16040586026,3616.1055013555
"WPRO","Rota",2027,4081.67133244024,4031.61642793548
"WPRO","Rota",2028,4351.69791715191,4301.64301264715
"WPRO","Rota",2029,4529.25260384705,4479.19769934229
"WPRO","Rota",2030,4649.68025264146,4599.6253481367
"WPRO","Rubella",2021,5657.09256427829,-148.931466394336
"WPRO","Rubella",2022,5637.36450410118,-168.659526571449
"WPRO","Rubella",2023,5626.23641450546,-179.787616167175
"WPRO","Rubella",2024,5619.48014977894,-186.543880893694
"WPRO","Rubella",2025,5612.8303039092,-193.193726763434
"WPRO","Rubella",2026,5610.35622906685,-195.667801605784
"WPRO","Rubella",2027,5607.81068365381,-198.213347018824
"WPRO","Rubella",2028,5603.22242467267,-202.801605999963
"WPRO","Rubella",2029,5594.63644294766,-211.387587724974
"WPRO","Rubella",2030,5581.17333424716,-224.850696425469
"WPRO","T",2021,52061.445211708,-1256.50242468846
"WPRO","T",2022,52596.7616124896,-721.18602390681
"WPRO","T",2023,53267.7344542287,-50.213182167773
"WPRO","T",2024,53935.9933849169,618.045748520456
"WPRO","T",2025,54474.2297099448,1156.28207354833
"WPRO","T",2026,54845.617711889,1527.67007549258
"WPRO","T",2027,55060.8390054193,1742.89136902284
"WPRO","T",2028,55148.4602967095,1830.51266031306
"WPRO","T",2029,55174.6800669241,1856.73243052768
"WPRO","T",2030,55202.2626393573,1884.31500296086
"WPRO","TB",2021,14032.2106528789,-253.434769763286
"WPRO","TB",2022,14159.1267082357,-126.518714406471
"WPRO","TB",2023,14340.8919030836,55.2464804414607
"WPRO","TB",2024,14513.7737467904,228.128324148282
"WPRO","TB",2025,14627.7346601062,342.089237464084
"WPRO","TB",2026,14664.9654006781,379.319978035969
"WPRO","TB",2027,14641.7134975626,356.068074920477
"WPRO","TB",2028,14577.0788306785,291.433408036344
"WPRO","TB",2029,14504.3511145386,218.705691896432
"WPRO","TB",2030,14450.8551482923,165.209725650199
