"region","disease","year","total","incremental"
"AFRO","Rubella",2026,6791.89728605684,2321.80521375492
"AFRO","Rubella",2027,9192.21901286875,4722.12694056682
"AFRO","Rubella",2028,10881.2062021899,6411.11412988802
"AFRO","Rubella",2029,12092.4213917156,7622.32931941369
"AFRO","Rubella",2030,12983.2848582081,8513.19278590621
"AFRO","T",2021,257171.281299735,7221.30522005432
"AFRO","T",2022,268901.358253334,18951.3821736526
"AFRO","T",2023,280409.181635658,30459.2055559773
"AFRO","T",2024,291533.204516225,41583.2284365439
"AFRO","T",2025,302133.882224609,52183.9061449278
"AFRO","T",2026,312010.767701567,62060.7916218862
"AFRO","T",2027,321398.736316366,71448.7602366846
"AFRO","T",2028,330358.549339104,80408.5732594232
"AFRO","T",2029,338991.907838369,89041.9317586878
"AFRO","T",2030,347384.121426737,97434.1453470554
"AFRO","TB",2021,80602.6337811164,2193.43622746856
"AFRO","TB",2022,82989.329016354,4580.13146270612
"AFRO","TB",2023,85398.4538805581,6989.25632691025
"AFRO","TB",2024,87757.3976727126,9348.20011906472
"AFRO","TB",2025,90008.6610142357,11599.4634605879
"AFRO","TB",2026,92086.0577151891,13676.8601615413
"AFRO","TB",2027,94061.9050868338,15652.707533186
"AFRO","TB",2028,95957.8523075836,17548.6547539358
"AFRO","TB",2029,97810.8381178417,19401.6405641938
"AFRO","TB",2030,99650.0082908764,21240.8107372285
"AFRO","YF",2021,138726.389801132,4406.4841567143
"AFRO","YF",2022,144495.781897267,10175.8762528496
"AFRO","YF",2023,150109.171461118,15789.2658167003
"AFRO","YF",2024,156549.6658536,22229.7602091826
"AFRO","YF",2025,162438.879928107,28118.9742836899
"AFRO","YF",2026,168649.879289265,34329.9736448479
"AFRO","YF",2027,174279.571820196,39959.666175779
"AFRO","YF",2028,179470.97761984,45151.0719754231
"AFRO","YF",2029,184324.97851065,50005.0728662328
"AFRO","YF",2030,188911.139473903,54591.233829486
"EMRO","D",2021,76137.2794186001,-148.310500373393
"EMRO","D",2022,77836.7300848401,1551.14016586656
"EMRO","D",2023,79473.5382048448,3187.94828587131
"EMRO","D",2024,81031.3160199166,4745.72610094314
"EMRO","D",2025,82506.4739430825,6220.88402410893
"EMRO","D",2026,83967.1026371444,7681.51271817095
"EMRO","D",2027,85392.1264206911,9106.5365017176
"EMRO","D",2028,86774.6237478556,10489.033828882
"EMRO","D",2029,88089.6742598914,11804.0843409179
"EMRO","D",2030,89314.735964376,13029.1460454025
"EMRO","HPV",2021,2356.31686663949,2320.2930176459
"EMRO","HPV",2022,13294.2599266633,13258.2360776697
"EMRO","HPV",2023,13169.7832301521,13133.7593811585
"EMRO","HPV",2024,18270.871590036,18234.8477410424
"EMRO","HPV",2025,21495.6310336267,21459.6071846331
"EMRO","HPV",2026,21760.8356448807,21724.8117958871
"EMRO","HPV",2027,22718.3673695354,22682.3435205418
"EMRO","HPV",2028,23613.7725170539,23577.7486680603
"EMRO","HPV",2029,24430.9814254635,24394.9575764699
"EMRO","HPV",2030,25213.2003265283,25177.1764775347
"EMRO","HepB",2021,76095.5284051599,-415.452850164817
"EMRO","HepB",2022,78043.0648843732,1532.08362904851
"EMRO","HepB",2023,79923.966871817,3412.98561649234
"EMRO","HepB",2024,82258.8801784466,5747.89892312186
"EMRO","HepB",2025,84220.5386713473,7709.55741602264
"EMRO","HepB",2026,85931.2789979766,9420.29774265186
"EMRO","HepB",2027,90212.1891105055,13701.2078551809
"EMRO","HepB",2028,93258.2217526351,16747.2404973104
"EMRO","HepB",2029,95536.9031264955,19025.9218711708
"EMRO","HepB",2030,97329.9179769669,20818.9367216422
"EMRO","Hib",2021,29893.3934641317,227.990370713779
"EMRO","Hib",2022,30790.5375595148,1125.13446609685
"EMRO","Hib",2023,31621.0752190296,1955.67212561169
"EMRO","Hib",2024,32415.943699991,2750.54060657308
"EMRO","Hib",2025,33201.4417206569,3536.03862723894
"EMRO","Hib",2026,34005.7109320608,4340.30783864286
"EMRO","Hib",2027,34815.589282762,5150.18618934412
"EMRO","Hib",2028,35614.537706497,5949.13461307913
"EMRO","Hib",2029,36373.1556402675,6707.75254684954
"EMRO","Hib",2030,37068.2814111278,7402.87831770984
"EMRO","Measles",2021,271319.53967233,998.806242689322
"EMRO","Measles",2022,278180.227180571,7859.49375093031
"EMRO","Measles",2023,284266.555226357,13945.821796716
"EMRO","Measles",2024,290068.167740121,19747.4343104796
"EMRO","Measles",2025,295856.843421612,25536.1099919709
"EMRO","Measles",2026,301915.511097986,31594.7776683446
"EMRO","Measles",2027,309599.208030639,39278.4746009976
"EMRO","Measles",2028,317181.482489599,46860.7490599586
"EMRO","Measles",2029,323896.234751814,53575.5013221732
"EMRO","Measles",2030,329817.295398049,59496.5619684078
"EMRO","MenA",2021,1561.58852560096,45.2837839284359
"EMRO","MenA",2022,1604.78038429694,88.4756426244182
"EMRO","MenA",2023,1647.02518728898,130.720445616455
"EMRO","MenA",2024,1688.83454341176,172.529801739244
"EMRO","MenA",2025,1730.54539047953,214.24064880701
"EMRO","MenA",2026,1772.56462265279,256.25988098027
