"year","location_name","total","all","prop"
2024,"Democratic Republic of the Congo",104591.296371374,1803174.16093616,0.0580039902063996
2024,"Ethiopia",85835.1178716711,1803174.16093616,0.0476022337338217
2024,"India",255051.463970338,1803174.16093616,0.141445828969688
2024,"Niger",36067.5516176642,1803174.16093616,0.0200022562429238
2024,"Nigeria",208353.69519706,1803174.16093616,0.115548292400601
2024,"Pakistan",153312.677573505,1803174.16093616,0.0850237769012335
2024,"Uganda",42263.2355853072,1803174.16093616,0.0234382437930262
2024,"United Republic of Tanzania",32831.1547602363,1803174.16093616,0.0182074230384885
2024,"Top 10",1032899.65117571,1803174.16093616,0.572823010418168
2025,"Angola",36622.1121150858,1845765.10503434,0.0198411553101738
2025,"China",79629.1473096858,1845765.10503434,0.043141539024926
2025,"Democratic Republic of the Congo",106840.037352738,1845765.10503434,0.0578838753974331
2025,"Ethiopia",89898.9302335481,1845765.10503434,0.0487055097034546
2025,"India",254054.152775473,1845765.10503434,0.137641649028112
2025,"Niger",37982.2008538385,1845765.10503434,0.0205780252049633
2025,"Nigeria",217470.527300797,1845765.10503434,0.117821345038783
2025,"Pakistan",155200.778261862,1845765.10503434,0.0840847938009828
2025,"Uganda",44074.3234429021,1845765.10503434,0.0238786199406896
2025,"United Republic of Tanzania",33513.0116086269,1845765.10503434,0.0181567045108935
2025,"Top 10",1055285.22125456,1845765.10503434,0.571733216960411
2026,"Angola",39503.0506117066,1897408.95591243,0.0208194709362011
2026,"China",78668.5759812421,1897408.95591243,0.0414610544216661
2026,"Democratic Republic of the Congo",112257.477528555,1897408.95591243,0.0591635647016181
2026,"Ethiopia",98672.4129779102,1897408.95591243,0.0520037668581891
2026,"India",253951.148103175,1897408.95591243,0.133841018991635
2026,"Niger",39830.25122351,1897408.95591243,0.0209919169504269
2026,"Nigeria",226131.750334897,1897408.95591243,0.11917923631079
2026,"Pakistan",157691.461557987,1897408.95591243,0.0831088422275076
2026,"Uganda",45718.8435332142,1897408.95591243,0.0240954083149822
2026,"United Republic of Tanzania",34226.3538682863,1897408.95591243,0.0180384696518033
2026,"Top 10",1086651.32572048,1897408.95591243,0.572702749364819
2027,"Angola",42227.3459058103,1956945.60401687,0.0215781909416049
2027,"China",78057.7153009319,1956945.60401687,0.0398875242831016
2027,"Democratic Republic of the Congo",116856.965651336,1956945.60401687,0.059713957000886
2027,"Ethiopia",105438.038694917,1956945.60401687,0.0538788806794078
2027,"India",254322.129771788,1956945.60401687,0.129958711805663
2027,"Niger",41643.7876749003,1956945.60401687,0.0212799924481403
2027,"Nigeria",243649.398254987,1956945.60401687,0.124504941657482
2027,"Pakistan",160606.608501984,1956945.60401687,0.082070042300777
2027,"Uganda",47293.4649968356,1956945.60401687,0.024166979858694
2027,"United Republic of Tanzania",34962.5243141428,1956945.60401687,0.017865864151961
2027,"Top 10",1125057.97906763,1956945.60401687,0.574905085127718
2028,"Angola",44760.954804533,2008647.47183912,0.0222841267231178
2028,"China",77847.7805941457,2008647.47183912,0.0387563182119102
2028,"Democratic Republic of the Congo",120864.761035293,2008647.47183912,0.0601722117642823
2028,"Ethiopia",110751.901764557,2008647.47183912,0.0551375506739132
2028,"India",255027.878366521,2008647.47183912,0.126964976155332
2028,"Niger",43410.0791199396,2008647.47183912,0.0216115967229398
2028,"Nigeria",258126.66565481,2008647.47183912,0.128507699471261
2028,"Pakistan",164026.558541893,2008647.47183912,0.0816602021218339
2028,"Uganda",48780.7503386482,2008647.47183912,0.0242853716356632
2028,"United Republic of Tanzania",35708.8169276463,2008647.47183912,0.0177775430623231
2028,"Top 10",1159306.14714799,2008647.47183912,0.577157596542577
2029,"Angola",47219.6015530295,2053769.32475646,0.0229916772949314
2029,"China",77585.5174031594,2053769.32475646,0.0377771332290981
2029,"Democratic Republic of the Congo",124444.021755285,2053769.32475646,0.0605929888304481
2029,"Ethiopia",115025.087141421,2053769.32475646,0.0560068191470632
2029,"India",255507.463205167,2053769.32475646,0.124409036655305
2029,"Niger",45163.0782215505,2053769.32475646,0.0219903363426202
2029,"Nigeria",270529.424206522,2053769.32475646,0.131723373674696
2029,"Pakistan",167037.764116441,2053769.32475646,0.0813322908775302
2029,"Uganda",50088.9080909046,2053769.32475646,0.0243887701929935
2029,"United Republic of Tanzania",36461.9391598343,2053769.32475646,0.0177536682042703
2029,"Top 10",1189062.80485331,2053769.32475646,0.578966094448956
2030,"Angola",49589.3498588518,2093542.79991871,0.0236868096801161
2030,"China",77250.3398142853,2093542.79991871,0.0368993362912308
2030,"Democratic Republic of the Congo",127708.480050407,2093542.79991871,0.0610011316966465
2030,"Ethiopia",118551.442609095,2093542.79991871,0.0566271884260966
2030,"India",255551.971747574,2093542.79991871,0.122066752949831
2030,"Niger",46893.2654348674,2093542.79991871,0.0223990001239469
2030,"Nigeria",281511.952153601,2093542.79991871,0.1344667766833
2030,"Pakistan",169537.145272722,2093542.79991871,0.080980978883883
2030,"Uganda",51144.0146817783,2093542.79991871,0.0244294096513165
2030,"United Republic of Tanzania",37209.4898957438,2093542.79991871,0.0177734555496972
2030,"Top 10",1214947.45151893,2093542.79991871,0.580330839936064
