"location_iso3","disease","impact_factor","total_fvps","total_deaths_averted"
"BLR","P",0.000634863938957479,1995982.86,1267.17754059122
"BLR","T",8.22709832522799e-05,1995982.86,164.211472446898
"BLR","TB",5.7665986185894e-05,2052012.56,118.331327938241
"BLZ","D",9.34737756490189e-05,143986.58,13.4589692753895
"BLZ","P",0.0022709286283755,143986.58,326.983246623879
"BLZ","T",0.000305347498164884,143986.58,43.965941972318
"BLZ","TB",0.000316221952854639,147308.25,46.5821024865994
"BOL","D",0.000104638613533165,4089980.97,427.96993807783
"BOL","P",0.0057115519269639,4089980.97,23360.1386904492
"BOL","T",0.000385107966736809,4089980.97,1575.08425534894
"BOL","TB",0.00133181048771785,4444362.3,5919.04832235782
"BRA","D",5.70220957179331e-05,58431133.75,3331.86570159985
"BRA","P",0.0018476628399688,58431133.75,107961.034527122
"BRA","T",0.000217730416604574,58431133.75,12722.2350940651
"BRA","TB",0.000223155019974812,59357500.76,13245.9242677527
"BRB","D",6.22331813162043e-05,59489.35,3.70221150493314
"BRB","P",0.00180565914668172,59489.35,107.41748895765
"BRB","T",0.000200661974061587,59489.35,11.9372504066407
"BRB","TB",NA,0,0
"BRN","D",8.19656707829348e-05,128329.76,10.518634859813
"BRN","P",0.00206615240613161,128329.76,265.148842402292
"BRN","T",0.000209035513012193,128329.76,26.8254772163316
"BRN","TB",0.000297916989689839,129386.56,38.5464544615237
"BTN","D",7.41324170455628e-05,253324.49,18.7795567405345
"BTN","P",0.00263061564079292,253324.49,666.399365589889
"BTN","T",0.000343483444024682,253324.49,87.0127682809961
"BTN","TB",0.00037492466764777,252561.89,94.6916826687426
"BWA","D",0.000156370639979568,982695.63,153.664744568225
"BWA","P",0.00529254672400292,982695.63,5200.96253724849
"BWA","T",0.000426341152765891,982695.63,418.963587712204
"BWA","TB",0.00113156848370804,1012195.51,1145.36853846679
"CAF","D",0.000146133622942299,1340475.68,195.888567584441
"CAF","P",0.00811120557351271,1340475.68,10872.8738067742
"CAF","T",0.000517104161684471,1340475.68,693.165552764821
"CAF","TB",0.00320127052260412,2114735.2,6769.83945887332
"CAN","D",5.90457758576036e-06,6613798.65,39.0516872655221
"CAN","P",0.000234624982643167,6613798.65,1551.76239346165
"CAN","T",3.29651895843781e-05,6613798.65,218.025126370154
"CAN","TB",NA,0,0
"CHE","D",5.79515060968927e-06,1509980.97,8.7505671389147
"CHE","P",0.000220720803567558,1509980.97,333.284213070121
"CHE","T",2.83356965142122e-05,1509980.97,42.7863625081557
"CHE","TB",NA,0,0
"CHL","D",2.20978656925572e-05,4558247.52,100.727541490392
"CHL","P",0.000703214178397474,4558247.52,3205.42428470913
"CHL","T",9.28529449515282e-05,4558247.52,423.24670605
"CHL","TB",6.28400096637973e-05,4643545.9,291.800469230286
"CHN","D",1.79978473574865e-05,330487841.93,5948.06973256125
"CHN","P",0.000837751112878687,330487841.93,276866.557369733
"CHN","T",9.73412705184413e-05,330487841.93,32170.106424364
