location_name,nx,BCG,D,HPV,HepB,Hib,JE,Measles,MenA,P,PCV,Rota,Rubella,T,YF
Ecuador,336510,0.99,0.96,0,0.96,0.95,0,0.99,0,0.96,0.94,0.97,0.99,0.96,0.8662
Australia,335309,0,0.95,0.999714114,0.95,0.95,0,0.95,0,0.95,0.96,0.87,0.95,0.95,0
Republic of Korea,332187,0.99,0.99,0.8164,0.99,0.98,1,0.99,0,0.99,0.98,0,0.99,0.99,0
Tajikistan,272833,0.99,0.97,0,0.9766,0.97,0,1,0,0.97,0,0.97,0.9806,0.97,0
Haiti,255218,0.83,0.68,0,0.68,0.68,0,1,0,0.68,0.0153,0.621,1,0.68,0
Togo,249684,0.98,0.85,0,0.9,0.9,0,1,0.584742843,0.85,0.9016,0.9092,0.7478,0.85,0.910964554
Sierra Leone,239065,0.99,0.95,0,0.92,0.92,0,1,0,0.95,0.92,0.95,0,0.95,0.876813333
Bolivia (Plurinational State of),237195,0.99,0.95,0.7076,0.95,0.95,0,1,0,0.95,0.87,0.91,1,0.95,0.93
Papua New Guinea,225694,0.93,0.72,0,0.67,0.79,0,0.994594934,0,0.72,0.4726,0,0.820637253,0.72,0
Chile,218144,0.99,0.97,0.9946,0.97,0.97,0,0.97,0.99988,0.97,0.95,0,0.97,0.97,0
Honduras,209343,0.99,0.98,0.8936,0.97,0.98,0,0.998315262,0,0.98,0.99,0.99,0.998315262,0.98,0
Jordan,202056,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0.97,0.99,0.99,0
Dominican Republic,201550,0.99,0.94,0.5446,0.92,0.9,0,0.96,0,0.94,0.7,0.86,0.96,0.94,0
Romania,195769,0.99,0.99,0,0.99,0.92,0,0.98,0,0.99,0.88,0,0.98,0.99,0
Tunisia,190283,0.99,0.99,0,0.99,0.98,0,0.996396329,0,0.99,0,0,0.99,0.99,0
Netherlands,169625,0,0.98,0.994583573,0.94,0.97,0,0.96,0,0.98,0.96,0,0.96,0.98,0
Israel,167018,0,0.98,0.7648,0.99,0.98,0,0.98,0,0.98,0.95,0.82,0.98,0.98,0
Congo,164576,0.95,0.9,0,0.9,0.9,0,1,0.83,0.9,0.85,0.8,0,0.9,0.8
Lao People's Democratic Republic,163036,0.83,0.88,0,0.88,0.88,0.6303,1,0,0.88,0.5834,0,1,0.88,0
Azerbaijan,151983,0.99,0.97,0.7888,0.98,0.97,0,0.98,0,0.97,0.97,0,0.98,0.97,0
Liberia,151727,0.97,0.84,0,0.86,0.86,0,1,0,0.84,0.8633,0.7891,0,0.84,0.947384305
Central African Republic,150588,0.74,0.54,0,0.4834,0.4834,0,0.999429212,1,0.54,0.5104,0,0,0.54,0.832888289
Paraguay,142020,0.99,0.98,0,0.93,0.93,0,1,0,0.98,0.99,0.93,1,0.98,0.99
Mauritania,140766,0.95,0.89,0,0.8195,0.8156,0,1,0.609538054,0.89,0.816,0.8092,0.8647,0.89,0
Kyrgyzstan,140121,0.99,0.99,0,0.99,0.97,0,0.99,0,0.99,0.9256,0,0.99,0.99,0
Nicaragua,130520,0.98,0.98,0.1641,0.9804,0.9804,0,1,0,0.98,0.9811,0.9808,1,0.98,0
Belgium,122223,0,0.99,0.998372485,0.98,0.98,0,0.96,0,0.99,0.94,0.88,0.96,0.99,0
Turkmenistan,121885,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Sweden,120927,0.27,0.99,0.9811,0.97,0.99,0,0.98,0,0.99,0.98,0,0.98,0.99,0
Libya,118609,0.99,0.98,0,0.99,0.98,0,0.99,0,0.98,0.96,0.97,0.99,0.98,0
El Salvador,116821,0.99,0.99,0,0.99,0.99,0,1,0,0.99,0.98,0.96,1,0.99,0
Czechia,115277,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Lebanon,112583,0,0.83,0,0.83,0.85,0,0.82,0,0.83,0.82,0,0.75,0.83,0
Cuba,105957,0.99,0.99,0.4515,0.99005,0.99,0,0.997114862,0,0.99,0,0,0.99,0.99,0
Eritrea,103854,0.99,0.98,0,0.96,0.9505,0,1,0,0.98,0.9525,0.9643,0.99,0.98,0
Oman,99723,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0.99,0,0.99,0.99,0
Hungary,96871,0.99,0.99,0.994316,0,0.99,0,0.99,0,0.99,0.99,0,0.99,0.99,0
Belarus,93366,0.99,0.99,0,0.99,0.23,0,0.99,0,0.99,0,0,0.99,0.99,0
United Arab Emirates,93300,0.99,0.99,0.26,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0
Austria,91186,0,0.98,0,0.98,0.98,0,0.96,0,0.98,0,0.61,0.96,0.98,0
Switzerland,90044,0,0.96,0.992983479,0.69,0.95,0,0.95,0,0.96,0.84,0,0.95,0.96,0
Serbia,85906,0.99,0.98,0,0.99,0.98,0,0.98,0,0.98,0.5395,0,0.96,0.98,0
Gambia,84864,0.99,0.98,0,0.98,0.99,0,1,0.898873864,0.98,0.99,0.97,0.9121,0.98,0.97
Greece,80897,0,0.99,0,0.98,0.99,0,0.99,0,0.99,0.96,0.2,0.99,0.99,0
Portugal,78752,0.99,0.99,0.99999562,0.98,0.99,0,0.99,0,0.99,0.98,0,0.99,0.99,0
Panama,77370,0.99,0.99,0.999677409,0.98,0.99,0,0.99,0,0.99,0.97,0.95,0.99,0.99,0.07
Mongolia,72173,0.99,0.99,0.8211,0.98535,0.99,0,0.999997302,0,0.99,0.3374,0,0.994875747,0.99,0
Costa Rica,68427,0.92,0.97,0,0.98,0.97,0,0.96,0,0.97,0.96,0.59,0.96,0.97,0
Namibia,66878,0.97,0.92,0,0.895,0.92,0,0.85,0,0.92,0.84,0.9228,0.8294,0.92,0
Gabon,66036,0.98,0.82,0,0.82,0.82,0,0.72,0,0.82,0,0,0,0.82,0.71
Denmark,65236,0,0.98,0.998043625,0,0.98,0,0.99,0,0.98,0.97,0,0.99,0.98,0
Bulgaria,63131,0.98,0.96,0.424385983,0.96,0.95,0,0.97,0,0.96,0.94,0.31,0.97,0.96,0
Guinea-Bissau,62172,0.94,0.88,0,0.89,0.89,0,1,0.955306728,0.88,0.9011,0.8974,0,0.88,0.8669
New Zealand,59005,0,0.95,0.994656841,0.95,0.98,0,0.93,0,0.95,0.96,0.89,0.93,0.95,0
Norway,58713,0,0.97,0.99996976,0.96,0.97,0,0.97,0,0.97,0.95,0.95,0.97,0.97,0
Ireland,58005,0.77,0.96,0.999995688,0.95,0.96,0,0.93,0,0.96,0.92,0.89,0.93,0.96,0
Slovakia,57235,0.98,0.99,0,0.99,0.99,0,0.99,0,0.99,0.99,0,0.99,0.99,0
Singapore,56957,0.99,0.98,0.007974044,0.97,0.96,0,0.96,0,0.98,0.83,0,0.96,0.98,0
Kuwait,56400,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0.99,0.69,0.99,0.99,0
Lesotho,53897,0.98,0.96,0.93262201,0.96,0.96,0,0.997031822,0,0.96,0.9401,0.7292,0.9023,0.96,0
Botswana,53845,0.99,0.97,0.9274,0.95,0.95,0,0.97,0,0.97,0.95,0.95,0.97,0.97,0
Georgia,50173,0.98,0.98,0,0.965,0.96,0,0.98,0,0.98,0.8469,0.8116,0.98,0.98,0
Finland,48600,0.98,0.99,0.62,0,0.99,0,0.98,0,0.99,0.92,0.93,0.98,0.99,0
Uruguay,47212,0.99,0.96,0.8700856,0.96,0.96,0,0.97,0,0.96,0.95,0,0.97,0.96,0
Jamaica,45368,0.99,0.99,0,0.99,0.99,0,0.96,0,0.99,0,0,0.95,0.99,0
Equatorial Guinea,41126,0.85,0.54,0,0.53,0.53,0,0.53,0,0.54,0,0,0,0.54,0.53
Armenia,39623,0.99,0.95,0.8013,0.965,0.95,0,1,0.22,0.95,0.94,0.94,0.97,0.95,0
Timor-Leste,38809,0.95,0.83,0,0.83,0.833,0,1,0,0.83,0,0,1,0.83,0
Republic of Moldova,38021,0.99,0.98,0.7883,0.99,0.9266,0,0.99,0,0.98,0.9482,0.7756,0.97,0.98,0
Croatia,35504,0.99,0.97,0,0.97,0.97,0,0.96,0,0.97,0,0,0.96,0.97,0
