"location_iso3","year","disease","target_deaths_averted","observed_deaths_averted"
"HTI",2022,"Rubella",18.3784999144132,16.6685776939953
"HUN",2019,"Rubella",57.1213665019846,57.1213665019846
"HUN",2020,"Rubella",56.963193535515,56.963193535515
"HUN",2021,"Rubella",57.4309423857753,57.4309423857753
"HUN",2022,"Rubella",56.5883789962933,56.5883789962933
"IDN",2019,"Rubella",1022.74711732308,1880.91464975524
"IDN",2020,"Rubella",1016.91898303113,1615.16912665341
"IDN",2021,"Rubella",1010.28214046697,1520.1737536807
"IDN",2022,"Rubella",1187.72088857329,1762.91214972963
"IND",2019,"Rubella",10593.4439372154,10978.2622486529
"IND",2020,"Rubella",10348.2666973842,10046.8608712468
"IND",2021,"Rubella",10167.5947422737,9871.45120609095
"IND",2022,"Rubella",10196.6473222606,10532.7862642518
"IRL",2019,"Rubella",29.1007101432092,29.1007101432092
"IRL",2020,"Rubella",28.1091198570362,28.4180112840366
"IRL",2021,"Rubella",28.3375837757434,28.0261817562297
"IRL",2022,"Rubella",27.9891679408287,27.5095830726909
"IRN",2019,"Rubella",561.680336854436,561.681396468049
"IRN",2020,"Rubella",498.245316389718,498.245316389718
"IRN",2021,"Rubella",472.887282376647,472.887282376647
"IRN",2022,"Rubella",459.347754341433,459.347754341433
"IRQ",2019,"Rubella",193.663210019472,204.45661750153
"IRQ",2020,"Rubella",195.884400719517,223.634290043151
"IRQ",2021,"Rubella",198.453818788445,204.641796933825
"IRQ",2022,"Rubella",204.203419945311,238.3228482935
"ISL",2019,"Rubella",1.80555158387749,1.80555158387749
"ISL",2020,"Rubella",1.90372578347366,1.90372578347366
"ISL",2021,"Rubella",1.93232435466037,1.91154667342747
"ISL",2022,"Rubella",1.95659116874133,1.91206990198072
"ISR",2019,"Rubella",76.1043243885016,76.8808991271598
"ISR",2020,"Rubella",79.8529256273925,80.6677513991006
"ISR",2021,"Rubella",75.9534089290923,76.7284437140831
"ISR",2022,"Rubella",75.5240804669796,76.2947343492958
"ITA",2019,"Rubella",141.455685130398,141.455685130398
"ITA",2020,"Rubella",136.19145906782,133.293768449355
"ITA",2021,"Rubella",134.479166071469,134.479166071469
"ITA",2022,"Rubella",135.251964524626,134.615046711777
"JAM",2019,"Rubella",28.0835986347981,29.4692818896073
"JAM",2020,"Rubella",27.5928092505383,28.6462520685428
"JAM",2021,"Rubella",27.3449274500423,26.8626212949734
"JAM",2022,"Rubella",27.5480432929332,27.5703745594808
"JOR",2019,"Rubella",155.479440316509,150.275580830492
"JOR",2020,"Rubella",156.289507100021,123.446295360648
"JOR",2021,"Rubella",157.265646811762,124.217305733672
"JOR",2022,"Rubella",158.175142446799,124.935676844281
"JPN",2019,"Rubella",445.123392482246,445.123392482246
"JPN",2020,"Rubella",421.125258929097,429.898701823453
"JPN",2021,"Rubella",424.854629243007,420.429060188393
"JPN",2022,"Rubella",421.498170020291,428.954532805718
"KAZ",2019,"Rubella",374.371471269864,374.371471269864
"KAZ",2020,"Rubella",376.896745752507,354.054518737204
"KAZ",2021,"Rubella",399.47921524979,391.408928073026
"KAZ",2022,"Rubella",386.034623774152,386.034623774152
"KEN",2019,"Rubella",548.61800591038,546.83618015482
"KEN",2020,"Rubella",551.553359214787,543.584898766953
"KEN",2021,"Rubella",556.830842043725,555.022342276755
"KEN",2022,"Rubella",563.534526662499,563.799001928664
"KGZ",2019,"Rubella",41.1705227368244,41.1191238320344
"KGZ",2020,"Rubella",40.518883810369,38.7821193357672
"KGZ",2021,"Rubella",39.0096437107598,37.7434130784505
"KGZ",2022,"Rubella",38.3235134989721,37.4782591438137
"KHM",2019,"Rubella",155.923931083964,160.366260838218
"KHM",2020,"Rubella",153.832696357482,150.941172687918
"KHM",2021,"Rubella",152.364727845693,149.500796916804
"KHM",2022,"Rubella",153.335796678527,147.299026150948
"KIR",2019,"Rubella",1.3264093684663,1.47222199357459
"KIR",2020,"Rubella",1.32995591757984,1.28771266078105
"KIR",2021,"Rubella",1.33350246669339,1.2596551816681
"KIR",2022,"Rubella",1.37871073210006,1.34352517520226
"KOR",2019,"Rubella",179.301098017604,179.301098017604
"KOR",2020,"Rubella",164.793931154859,164.793931154859
"KOR",2021,"Rubella",156.518438453409,156.518438453409
"KOR",2022,"Rubella",154.356473689576,152.550634984397
"KWT",2019,"Rubella",67.7444382750211,67.0531684967046
"KWT",2020,"Rubella",63.5638081032314,61.6179772429284
"KWT",2021,"Rubella",60.5279900308097,58.0574598254706
"KWT",2022,"Rubella",53.1268162673797,53.668926637455
"LAO",2019,"Rubella",55.4511160473046,65.7777742133634
"LAO",2020,"Rubella",55.2491077224921,62.3792984147045
"LAO",2021,"Rubella",55.2924928945927,57.686894116125
"LAO",2022,"Rubella",56.116249347313,59.6821035885444
"LBN",2019,"Rubella",29.7079930800814,38.6675465486774
"LBN",2020,"Rubella",26.945801462297,31.6506239398409
"LBN",2021,"Rubella",27.3890607302694,29.1280487131436
"LBN",2022,"Rubella",28.7702992047555,28.0218555148308
