"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"44","D",2020,1779.81744887082,1796.56386980786,16.7464209370462,"EMRO"
"45","D",2021,1789.13205891596,1875.03610660443,85.9040476884695,"EMRO"
"46","D",2019,3383.78095784233,3383.78095784233,0,"AFRO"
"47","D",2020,3437.04715585092,3375.31470738016,-61.732448470756,"AFRO"
"48","D",2021,3474.83897278219,3320.87167195071,-153.967300831487,"AFRO"
"49","D",2019,328.772176659435,328.772176659435,0,"EURO"
"50","D",2020,320.987955796079,313.405712801032,-7.58224299504701,"EURO"
"51","D",2021,317.595373260479,312.999244926847,-4.59612833363229,"EURO"
"52","D",2019,512.506768667244,512.506768667244,0,"PAHO"
"53","D",2020,504.373132851088,476.615880915151,-27.7572519359366,"PAHO"
"54","D",2021,495.55846078974,462.439032445054,-33.1194283446858,"PAHO"
"55","D",2019,873.582356292594,873.582356292594,0,"WPRO"
"56","D",2020,859.276788519793,903.375660284339,44.0988717645457,"WPRO"
"57","D",2021,818.307055942821,765.712780448051,-52.59427549477,"WPRO"
"58","D",2019,8046.867962945,8046.867962945,0,"SEARO"
"59","D",2020,7901.57169450288,7367.02326377757,-534.548430725308,"SEARO"
"60","D",2021,7787.36997479648,7007.81960050901,-779.550374287468,"SEARO"
"61","HPV",2019,14588.2296984705,14588.2296984705,0,"AFRO"
"62","HPV",2021,130448.292339671,NA,NA,"AFRO"
"63","HPV",2021,3327.24202511263,NA,NA,"EURO"
"64","HPV",2019,427.153447319957,427.153447319957,0,"EURO"
"65","HPV",2020,2840.50102217626,NA,NA,"EURO"
"66","HPV",2019,2718.89482597467,2718.89482597467,0,"PAHO"
"67","HPV",2020,8816.28679376226,NA,NA,"PAHO"
"68","HPV",2021,9792.52742986739,NA,NA,"PAHO"
"69","HPV",2019,376.479555345669,376.479555345669,0,"SEARO"
"70","HPV",2020,11028.639896288,NA,NA,"SEARO"
"71","HPV",2021,15159.8811403012,NA,NA,"SEARO"
"72","HPV",2020,6738.31638622019,NA,NA,"WPRO"
"73","HPV",2021,10570.9555143695,NA,NA,"WPRO"
"74","HPV",2020,100844.711532848,NA,NA,"AFRO"
"75","HPV",2019,294.113513784417,294.113513784417,0,"WPRO"
"76","HPV",2020,1695.48848831158,NA,NA,"EMRO"
"77","HPV",2021,2515.49924423579,NA,NA,"EMRO"
"78","HepB",2019,80057.8007071403,80057.8007071403,0,"EMRO"
"79","HepB",2020,79836.4276321766,79155.4362991252,-680.991333051425,"EMRO"
"80","HepB",2021,79798.436147569,80538.7873997584,740.351252189459,"EMRO"
"81","HepB",2019,303396.953250915,303396.953250915,0,"AFRO"
"82","HepB",2020,308700.329020505,294813.891269367,-13886.4377511379,"AFRO"
"83","HepB",2021,313151.842228839,293734.263152841,-19417.5790759972,"AFRO"
"84","HepB",2019,100271.040922153,100271.040922153,0,"EURO"
"85","HepB",2020,96995.7006582318,96167.0390017025,-828.661656529337,"EURO"
"86","HepB",2021,95420.6139959358,94484.9744714774,-935.63952445834,"EURO"
"87","HepB",2019,130778.052534338,130778.052534338,0,"PAHO"
"88","HepB",2020,128412.770972573,129787.04681129,1374.27583871693,"PAHO"
"89","HepB",2021,124738.502344499,124165.721104493,-572.781240005512,"PAHO"
"90","HepB",2019,470862.694305097,470862.694305097,0,"WPRO"
"91","HepB",2020,448094.069646722,451450.511242154,3356.44159543246,"WPRO"
"92","HepB",2021,385955.727482846,381172.954123615,-4782.7733592313,"WPRO"
"93","HepB",2019,218257.366843562,218257.366843562,0,"SEARO"
"94","HepB",2020,215436.807853308,209043.38811499,-6393.41973831705,"SEARO"
"95","HepB",2021,212914.800632581,192034.335880697,-20880.4647518833,"SEARO"
"96","Hib",2019,31429.8018088312,31429.8018088312,0,"EMRO"
"97","Hib",2020,31557.6914478111,31532.214298924,-25.4771488871556,"EMRO"
"98","Hib",2021,31804.6410952657,32295.7645086913,491.123413425539,"EMRO"
"99","Hib",2019,99368.4627160058,99368.4627160058,0,"AFRO"
"100","Hib",2020,101368.715139089,95003.5002870608,-6365.21485202781,"AFRO"
"101","Hib",2021,103112.56596079,94270.7343522201,-8841.83160856979,"AFRO"
"102","Hib",2019,4359.48969188697,4359.48969188697,0,"EURO"
"103","Hib",2020,4322.14799253102,4256.69564896083,-65.4523435701885,"EURO"
"104","Hib",2021,4285.49443959092,4250.27774553026,-35.2166940606621,"EURO"
