"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"AGO",2022,"HPV","HPV",4990.00120449589,0,"AFRO","Lower middle income",0,495981
"AGO",2022,"HepB","HepB",9841.34521408868,6779.82331565931,"AFRO","Lower middle income",0.42,1288621
"AGO",2022,"Hib","Hib3",6100.79695076236,4202.91377968007,"AFRO","Lower middle income",0.42,1288621
"AGO",2022,"Measles","MCV1",24023.930399949,15827.7516357115,"AFRO","Lower middle income",0.37,1288621
"AGO",2022,"Measles","MCV2",2800.85581975005,1663.07786305558,"AFRO","Lower middle income",0.25,1205604
"AGO",2022,"PCV","PCV3",5120.75688145877,2127.95339778094,"AFRO","Lower middle income",0.24,1288621
"AGO",2022,"Rota","Rota",1736.77033335306,1040.25771474993,"AFRO","Lower middle income",0.37,1288621
"AGO",2022,"YF","YF",816.153147966588,317.45012826029,"AFRO","Lower middle income",0.2,1288621
"AGO",2022,"D","DTP3",173.70864116157,119.670011554184,"AFRO","Lower middle income",0.42,1288621
"AGO",2022,"P","DTP3",6690.78880938089,4609.36640095229,"AFRO","Lower middle income",0.42,1288621
"AGO",2022,"T","DTP3",487.335450222465,335.731363557451,"AFRO","Lower middle income",0.42,1288621
"AGO",2022,"TB","BCG",2479.10021940992,2100.42730508666,"AFRO","Lower middle income",0.6,1288621
"AGO",2022,"Rubella","Rubella",537.674659902939,354.237663699585,"AFRO","Lower middle income",0.37,1288621
"ALB",2019,"HepB","HepB",201.323731597561,201.323731597561,"EURO","Upper middle income",0.99,29036
"ALB",2019,"HepB","HepB_BD",40.8132524948668,40.8132524948668,"EURO","Upper middle income",0.99,29036
"ALB",2019,"Hib","Hib3",18.1912330753229,18.1912330753229,"EURO","Upper middle income",0.99,29036
"ALB",2019,"Measles","MCV1",151.976766439789,151.976766439789,"EURO","Upper middle income",0.95,29036
"ALB",2019,"Measles","MCV2",21.7583467032435,21.7583467032435,"EURO","Upper middle income",0.96,30651
"ALB",2019,"PCV","PCV3",17.9628904164178,17.9628904164178,"EURO","Upper middle income",0.96,29036
"ALB",2019,"D","DTP3",0.454986796536896,0.454986796536896,"EURO","Upper middle income",0.99,29036
"ALB",2019,"P","DTP3",22.4413646260328,22.4413646260328,"EURO","Upper middle income",0.99,29036
"ALB",2019,"T","DTP3",2.66896449063941,2.66896449063941,"EURO","Upper middle income",0.99,29036
"ALB",2019,"TB","BCG",1.66790487934516,1.66790487934516,"EURO","Upper middle income",0.99,29036
"ALB",2019,"Rubella","Rubella",4.739184384697,4.739184384697,"EURO","Upper middle income",0.95,29036
"ALB",2020,"HepB","HepB",197.64199508157,195.645611292868,"EURO","Upper middle income",0.98,28505
"ALB",2020,"HepB","HepB_BD",40.066874306591,40.066874306591,"EURO","Upper middle income",0.99,28505
"ALB",2020,"Hib","Hib3",17.8585583004574,17.678168822675,"EURO","Upper middle income",0.98,28505
"ALB",2020,"Measles","MCV1",149.197469602086,142.915470881998,"EURO","Upper middle income",0.91,28505
"ALB",2020,"Measles","MCV2",20.9277941717504,20.491798459839,"EURO","Upper middle income",0.94,29481
"ALB",2020,"PCV","PCV3",17.634391490563,16.8996251784563,"EURO","Upper middle income",0.92,28505
"ALB",2020,"D","DTP3",0.446666160465774,0.44215438106713,"EURO","Upper middle income",0.98,28505
"ALB",2020,"P","DTP3",22.0309649629793,21.8084299633532,"EURO","Upper middle income",0.98,28505
"ALB",2020,"T","DTP3",2.62015542105236,2.59368920467809,"EURO","Upper middle income",0.98,28505
"ALB",2020,"TB","BCG",1.63740283047713,1.62086340794706,"EURO","Upper middle income",0.98,28505
"ALB",2020,"Rubella","Rubella",4.65251587290908,4.45662046773396,"EURO","Upper middle income",0.91,28505
"ALB",2021,"HPV","HPV",18.996596741885,0,"EURO","Upper middle income",0,15608
"ALB",2021,"HepB","HepB",196.387015214538,194.403307990149,"EURO","Upper middle income",0.98,28324
"ALB",2021,"HepB","HepB_BD",39.8124591426025,39.8124591426025,"EURO","Upper middle income",0.99,28324
"ALB",2021,"Hib","Hib3",17.7451606841661,17.5659166368513,"EURO","Upper middle income",0.98,28324
"ALB",2021,"Measles","MCV1",148.250101000158,135.765881968565,"EURO","Upper middle income",0.87,28324
"ALB",2021,"Measles","MCV2",20.0255443704447,19.1911466883428,"EURO","Upper middle income",0.92,28210
"ALB",2021,"PCV","PCV3",17.5224172804318,16.2447410204003,"EURO","Upper middle income",0.89,28324
"ALB",2021,"D","DTP3",0.443829936117614,0.43934680544976,"EURO","Upper middle income",0.98,28324
"ALB",2021,"P","DTP3",21.8910735524092,21.6699515973344,"EURO","Upper middle income",0.98,28324
"ALB",2021,"T","DTP3",2.60351805458295,2.57721989241545,"EURO","Upper middle income",0.98,28324
"ALB",2021,"TB","BCG",1.62700571024151,1.62700571024151,"EURO","Upper middle income",0.99,28324
"ALB",2021,"Rubella","Rubella",4.62297349883448,4.23367046735368,"EURO","Upper middle income",0.87,28324
"ALB",2022,"HPV","HPV",27.5948043574126,0,"EURO","Upper middle income",0,15818
"ALB",2022,"HepB","HepB",194.924027634737,190.986168490601,"EURO","Upper middle income",0.97,28113
"ALB",2022,"HepB","HepB_BD",39.5158757193894,39.5158757193894,"EURO","Upper middle income",0.99,28113
"ALB",2022,"Hib","Hib3",17.6129678828542,17.2571503498672,"EURO","Upper middle income",0.97,28113
"ALB",2022,"Measles","MCV1",148.413865678492,133.205590085365,"EURO","Upper middle income",0.86,28113
"ALB",2022,"Measles","MCV2",19.8011792881708,19.0689670277493,"EURO","Upper middle income",0.93,27729
"ALB",2022,"PCV","PCV3",17.4953336449215,15.7613947018635,"EURO","Upper middle income",0.87,28113
"ALB",2022,"D","DTP3",0.440523619336057,0.431624152278763,"EURO","Upper middle income",0.97,28113
"ALB",2022,"P","DTP3",21.7279957201977,21.2890463117089,"EURO","Upper middle income",0.97,28113
"ALB",2022,"T","DTP3",2.5841231135606,2.53191860621594,"EURO","Upper middle income",0.97,28113
"ALB",2022,"TB","BCG",1.61488531040882,1.61488531040882,"EURO","Upper middle income",0.99,28113
"ALB",2022,"Rubella","Rubella",4.62808027287968,4.15383132090141,"EURO","Upper middle income",0.86,28113
"ARE",2019,"HPV","HPV",20.0819773620367,20.0819773620367,"EMRO","High income",0.33,44334
"ARE",2019,"HepB","HepB",871.417302687421,871.417302687421,"EMRO","High income",0.98,96433
"ARE",2019,"HepB","HepB_BD",580.174164897348,580.174164897348,"EMRO","High income",0.91,96433
"ARE",2019,"Hib","Hib3",18.6905041932534,18.6905041932534,"EMRO","High income",0.99,96433
"ARE",2019,"Measles","MCV1",296.883776966847,296.883776966847,"EMRO","High income",0.99,96433
"ARE",2019,"Measles","MCV2",50.1966288906775,50.1966288906775,"EMRO","High income",0.94,96433
"ARE",2019,"PCV","PCV3",18.5804454851821,18.5804454851821,"EMRO","High income",0.99,96433
"ARE",2019,"Rota","Rota",5.27812690108812,5.27812690108812,"EMRO","High income",0.92,96433
"ARE",2019,"D","DTP3",19.7346822496609,19.7346822496609,"EMRO","High income",0.99,96433
"ARE",2019,"P","DTP3",306.582545333849,306.582545333849,"EMRO","High income",0.99,96433
"ARE",2019,"T","DTP3",27.4992188377572,27.4992188377572,"EMRO","High income",0.99,96433
"ARE",2019,"TB","BCG",64.8768487964996,64.8768487964996,"EMRO","High income",0.94,96433
"ARE",2019,"Rubella","Rubella",332.425459319544,332.425459319544,"EMRO","High income",0.99,96433
"ARE",2020,"HPV","HPV",27.3731491524586,0,"EMRO","High income",0,40698
"ARE",2020,"HepB","HepB",885.161827045137,821.935982256198,"EMRO","High income",0.91,97954
"ARE",2020,"HepB","HepB_BD",589.325025129933,537.516231711917,"EMRO","High income",0.83,97954
"ARE",2020,"Hib","Hib3",18.9853022071899,17.2593656428999,"EMRO","High income",0.9,97954
"ARE",2020,"Measles","MCV1",301.566408688006,301.566408688006,"EMRO","High income",0.99,97954
"ARE",2020,"Measles","MCV2",50.9883606893638,49.9035019512923,"EMRO","High income",0.92,97954
"ARE",2020,"PCV","PCV3",18.8735075861534,16.013885224615,"EMRO","High income",0.84,97954
"ARE",2020,"Rota","Rota",5.36137673274902,5.0117217284393,"EMRO","High income",0.86,97954
"ARE",2020,"D","DTP3",20.0459496757675,18.2235906143341,"EMRO","High income",0.9,97954
"ARE",2020,"P","DTP3",311.418151935871,283.107410850792,"EMRO","High income",0.9,97954
"ARE",2020,"T","DTP3",27.9329532632363,25.3935938756694,"EMRO","High income",0.9,97954
"ARE",2020,"TB","BCG",65.9001259632317,60.2916046046588,"EMRO","High income",0.86,97954
"ARE",2020,"Rubella","Rubella",337.668676098292,337.668676098292,"EMRO","High income",0.99,97954
"ARE",2021,"HPV","HPV",35.2513976729463,0,"EMRO","High income",0,43528
"ARE",2021,"HepB","HepB",886.869726521539,859.720653260676,"EMRO","High income",0.95,98143
"ARE",2021,"HepB","HepB_BD",590.46211427126,622.905087582868,"EMRO","High income",0.96,98143
"ARE",2021,"Hib","Hib3",19.0219339130636,18.4455116732738,"EMRO","High income",0.96,98143
"ARE",2021,"Measles","MCV1",302.14827416815,302.14827416815,"EMRO","High income",0.99,98143
"ARE",2021,"Measles","MCV2",51.0867415637568,52.1736935119219,"EMRO","High income",0.96,98143
"ARE",2021,"PCV","PCV3",18.9099235868658,18.1458862702248,"EMRO","High income",0.95,98143
