"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"ARM",2019,"Hib","Hib3",22.9736076928586,22.9736076928586,"EURO","Upper middle income",0.92,37532
"ARM",2019,"Measles","MCV1",186.949783484691,186.949783484691,"EURO","Upper middle income",0.95,37532
"ARM",2019,"Measles","MCV2",24.8292014100227,24.8292014100227,"EURO","Upper middle income",0.96,40940
"ARM",2019,"PCV","PCV3",20.284568016289,20.284568016289,"EURO","Upper middle income",0.92,37532
"ARM",2019,"Rota","Rota",3.38106479376661,3.38106479376661,"EURO","Upper middle income",0.92,37532
"ARM",2019,"D","DTP3",1.15873005365406,1.15873005365406,"EURO","Upper middle income",0.92,37532
"ARM",2019,"P","DTP3",45.014002658068,45.014002658068,"EURO","Upper middle income",0.92,37532
"ARM",2019,"T","DTP3",4.75819548520874,4.75819548520874,"EURO","Upper middle income",0.92,37532
"ARM",2019,"TB","BCG",4.67369520758453,4.67369520758453,"EURO","Upper middle income",0.99,37532
"ARM",2019,"Rubella","Rubella",8.0369403718198,8.0369403718198,"EURO","Upper middle income",0.95,37532
"ARM",2020,"HPV","HPV",56.4460381947836,0,"EURO","Upper middle income",0,14796
"ARM",2020,"HepB","HepB",167.434346119694,167.434346119694,"EURO","Upper middle income",0.92,36172
"ARM",2020,"HepB","HepB_BD",62.6835228225529,63.3364761852878,"EURO","Upper middle income",0.97,36172
"ARM",2020,"Hib","Hib3",22.1411418913483,22.1411418913483,"EURO","Upper middle income",0.92,36172
"ARM",2020,"Measles","MCV1",180.175518709588,178.278934302118,"EURO","Upper middle income",0.94,36172
