"location_iso3","year","disease","v_at_id","target"
"AGO",2022,"Measles",8,24023.930399949
"AGO",2022,"Measles",9,2800.85581975005
"AGO",2022,"P",20,6690.78880938089
"AGO",2022,"PCV",13,5120.75688145877
"AGO",2022,"Rota",15,1736.77033335306
"AGO",2022,"Rubella",17,537.674659902939
"AGO",2022,"T",20,487.335450222465
"AGO",2022,"TB",21,2479.10021940992
"AGO",2022,"YF",19,816.153147966588
"AGO",2023,"D",20,186.754466481768
"AGO",2023,"HPV",2,5136.69877469063
"AGO",2023,"HepB",3,10580.4475967925
"AGO",2023,"HepB",4,0
"AGO",2023,"Hib",5,6558.97756170624
"AGO",2023,"Measles",8,26392.882486406
"AGO",2023,"Measles",9,3401.75713934021
"AGO",2023,"P",20,7193.27884947238
"AGO",2023,"PCV",13,5583.00890890838
"AGO",2023,"Rota",15,1861.12363023911
"AGO",2023,"Rubella",17,590.693690769547
"AGO",2023,"T",20,523.935202044993
"AGO",2023,"TB",21,2577.46672154732
"AGO",2023,"YF",19,919.886924370707
"AGO",2024,"D",20,199.467171093733
"AGO",2024,"HPV",2,5402.92884286806
"AGO",2024,"HepB",3,11300.6772517739
"AGO",2024,"HepB",4,0
"AGO",2024,"Hib",5,7005.45868673262
"AGO",2024,"Measles",8,28654.9271911969
"AGO",2024,"Measles",9,3942.83297895126
"AGO",2024,"P",20,7682.93797745778
"AGO",2024,"PCV",13,6027.24887850103
"AGO",2024,"Rota",15,1982.75121896765
"AGO",2024,"Rubella",17,641.320049449651
"AGO",2024,"T",20,559.600391664748
"AGO",2024,"TB",21,2678.47132043027
"AGO",2024,"YF",19,1017.21235501215
"AGO",2025,"D",20,211.686433876611
"AGO",2025,"HPV",2,5534.73296932929
"AGO",2025,"HepB",3,11992.9512946992
"AGO",2025,"HepB",4,0
"AGO",2025,"Hib",5,7434.60971012361
"AGO",2025,"Measles",8,30794.9715171669
"AGO",2025,"Measles",9,4418.48811802964
"AGO",2025,"P",20,8153.59105573799
"AGO",2025,"PCV",13,6449.68323203875
"AGO",2025,"Rota",15,2099.98522524631
