"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"76","Hib",2019,98533.5144122269,98533.5144122269,0,"AFRO"
"77","Hib",2019,4389.6290921249,4389.6290921249,0,"EURO"
"78","Hib",2019,6200.44038216016,6200.44038216016,0,"PAHO"
"79","Hib",2019,4164.93088476717,4164.93088476717,0,"WPRO"
"80","Hib",2019,56293.6604598905,56293.6604598905,0,"SEARO"
"81","JE",2019,10159.8460070691,10159.8460070691,0,"SEARO"
"82","JE",2019,1164.78171140344,1164.78171140344,0,"WPRO"
"83","Measles",2019,292853.220674723,292853.220674723,0,"EMRO"
"84","Measles",2019,732584.453611995,732584.453611995,0,"AFRO"
"85","Measles",2019,68834.2448093978,68834.2448093978,0,"EURO"
"86","Measles",2019,104277.599845105,104277.599845105,0,"PAHO"
"87","Measles",2019,118050.314841754,118050.314841754,0,"WPRO"
"88","Measles",2019,339817.424851975,339817.424851975,0,"SEARO"
"89","MenA",2019,3669.42204398303,3669.42204398303,0,"AFRO"
"90","MenA",2019,1633.21614360423,1633.21614360423,0,"EMRO"
"91","P",2019,60309.9583866379,60309.9583866379,0,"EMRO"
"92","P",2019,166044.152870715,166044.152870715,0,"AFRO"
"93","P",2019,11993.1787215104,11993.1787215104,0,"EURO"
"94","P",2019,17408.714293909,17408.714293909,0,"PAHO"
"95","P",2019,29823.380386495,29823.380386495,0,"WPRO"
"96","P",2019,195012.523635526,195012.523635526,0,"SEARO"
"97","PCV",2019,25022.6510395095,25022.6510395095,0,"EMRO"
"98","PCV",2019,86540.5759259303,86540.5759259303,0,"AFRO"
"99","PCV",2019,3839.4855625729,3839.4855625729,0,"EURO"
"100","PCV",2019,6506.36192686972,6506.36192686972,0,"PAHO"
"101","PCV",2019,2999.59203863155,2999.59203863155,0,"WPRO"
"102","PCV",2019,15208.3914264846,15208.3914264846,0,"SEARO"
"103","Rota",2019,6457.45957613845,6457.45957613845,0,"EMRO"
"104","Rota",2019,16781.5980169604,16781.5980169604,0,"AFRO"
"105","Rota",2019,1669.2730285269,1669.2730285269,0,"PAHO"
"106","Rota",2019,332.384498330726,332.384498330726,0,"EURO"
"107","Rota",2019,20.8669685369214,20.8669685369214,0,"WPRO"
"108","Rota",2019,7058.17885744148,7058.17885744148,0,"SEARO"
"109","Rubella",2019,4387.15722970079,4387.15722970079,0,"AFRO"
"110","Rubella",2019,6483.26338280252,6483.26338280252,0,"EURO"
"111","Rubella",2019,2922.62858208798,2922.62858208798,0,"EMRO"
"112","Rubella",2019,11405.954920901,11405.954920901,0,"PAHO"
"113","Rubella",2019,5726.06919429049,5726.06919429049,0,"WPRO"
"114","Rubella",2019,14631.7491923355,14631.7491923355,0,"SEARO"
"115","T",2019,6218.444817621,6218.444817621,0,"EMRO"
"116","T",2019,11802.5164081975,11802.5164081975,0,"AFRO"
"117","T",2019,1203.22685188065,1203.22685188065,0,"EURO"
"118","T",2019,2008.24148402252,2008.24148402252,0,"PAHO"
"119","T",2019,3254.4268161434,3254.4268161434,0,"WPRO"
"120","T",2019,18684.0799693554,18684.0799693554,0,"SEARO"
"121","TB",2019,13297.665570446,13297.665570446,0,"EMRO"
"122","TB",2019,47549.1514518849,47549.1514518849,0,"AFRO"
"123","TB",2019,1399.22337608185,1399.22337608185,0,"EURO"
"124","TB",2019,2536.23548514215,2536.23548514215,0,"PAHO"
"125","TB",2019,50691.9318553437,50691.9318553437,0,"SEARO"
"126","TB",2019,4466.38225135397,4466.38225135397,0,"WPRO"
"127","YF",2019,120417.558666097,120417.558666097,0,"AFRO"
"128","YF",2019,4916.82097969742,4916.82097969742,0,"PAHO"
"129","D",2020,1912.76866644534,1839.83437664853,-72.9342897968097,"EMRO"
"130","D",2020,3503.80527621876,3388.09631800414,-115.708958214625,"AFRO"
"131","D",2020,320.88027995768,313.399679871472,-7.4806000862086,"EURO"
